Point ID,Points_0,Points_1,Points_2,Points_Magnitude,psi
170,6.000735687e-01,-1.183482223e+01,0.000000000e+00,1.185002554e+01,-8.610260810e-02
171,6.239872319e-01,-1.212038515e+01,0.000000000e+00,1.213643672e+01,-8.610260810e-02
172,1.544961722e+00,-1.407849488e+01,0.000000000e+00,1.416301256e+01,-8.610260810e-02
173,8.378322208e+00,-1.051050616e+01,0.000000000e+00,1.344124335e+01,1.230720951e+01
174,8.387863626e+00,-1.052279794e+01,0.000000000e+00,1.345680247e+01,1.230720951e+01
175,9.981170577e+00,1.521051205e+00,0.000000000e+00,1.009640346e+01,1.230720951e+01
176,1.002691988e+01,1.396995225e+00,0.000000000e+00,1.012376995e+01,1.230720951e+01
177,4.355690329e-01,-1.057080693e+01,0.000000000e+00,1.057977691e+01,-8.610260810e-02
178,3.698035317e-01,-1.026724816e+01,0.000000000e+00,1.027390575e+01,-8.610260810e-02
179,4.548816658e-01,-1.071370055e+01,0.000000000e+00,1.072335288e+01,-8.610260810e-02
180,3.715123949e+00,-3.969424713e+00,0.000000000e+00,5.436770964e+00,-8.610260810e-02
181,3.782460540e+00,-3.949413378e+00,0.000000000e+00,5.468534883e+00,-8.610260810e-02
182,6.252561421e+00,-9.362590608e+00,0.000000000e+00,1.125844693e+01,-8.610260810e-02
183,6.243321453e+00,-9.428716150e+00,0.000000000e+00,1.130839295e+01,-8.610260810e-02
184,8.488564457e+00,-3.021375667e+00,0.000000000e+00,9.010240700e+00,1.230720951e+01
185,8.464152885e+00,-3.043648372e+00,0.000000000e+00,8.994758444e+00,1.230720951e+01
186,4.875765404e-01,-1.120894863e+01,0.000000000e+00,1.121954814e+01,-8.610260810e-02
187,4.597857102e-01,-1.073943545e+01,0.000000000e+00,1.074927331e+01,-8.610260810e-02
188,4.552423638e-01,-1.072515159e+01,0.000000000e+00,1.073480890e+01,-8.610260810e-02
189,4.509323860e+00,-1.284095018e+01,0.000000000e+00,1.360970254e+01,-8.610260810e-02
190,4.427321872e+00,-1.294803464e+01,0.000000000e+00,1.368403376e+01,-8.610260810e-02
191,4.309936391e+00,-1.306786943e+01,0.000000000e+00,1.376026028e+01,-8.610260810e-02
192,4.126783255e+00,-1.319941529e+01,0.000000000e+00,1.382949399e+01,-8.610260810e-02
193,8.701896646e+00,-1.090050115e+01,0.000000000e+00,1.394790058e+01,1.230720951e+01
194,8.749810964e+00,-1.094872939e+01,0.000000000e+00,1.401548669e+01,1.230720951e+01
195,2.354992849e-01,-7.393381769e+00,0.000000000e+00,7.397131464e+00,-8.610260810e-02
196,2.755961231e-01,-7.179169399e+00,0.000000000e+00,7.184457285e+00,-8.610260810e-02
197,2.150363375e-01,-7.902646015e+00,0.000000000e+00,7.905571116e+00,-8.610260810e-02
198,2.720918910e-01,-7.629993874e+00,0.000000000e+00,7.634843844e+00,-8.610260810e-02
199,2.653295543e-01,-8.596811910e+00,0.000000000e+00,8.600905464e+00,-8.610260810e-02
200,2.670259962e-01,-8.404167531e+00,0.000000000e+00,8.408408575e+00,-8.610260810e-02
201,3.182051294e-01,-9.566284183e+00,0.000000000e+00,9.571574979e+00,-8.610260810e-02
